lang	rol	msb	pam	ilo	pag	cbk	krj	war	prf	jil	tao	bik	tgl	tsg	ceb	tiu
rol	1.0000	0.8338	0.6949	0.5983	0.6902	0.4154	0.9143	0.7607	0.6265	0.9242	0.6489	0.8482	0.8666	0.7217	0.8870	0.7720
msb	0.8338	1.0000	0.5600	0.5770	0.7906	0.4460	0.7887	0.6916	0.6636	0.8305	0.6678	0.9206	0.7405	0.7464	0.8061	0.6563
pam	0.6949	0.5600	1.0000	0.5421	0.6109	0.3423	0.7072	0.4918	0.5494	0.6757	0.6002	0.6747	0.7985	0.5968	0.7033	0.5469
ilo	0.5983	0.5770	0.5421	1.0000	0.6818	0.3849	0.6186	0.5263	0.7235	0.5583	0.6611	0.5962	0.5669	0.5533	0.5588	0.6396
pag	0.6902	0.7906	0.6109	0.6818	1.0000	0.5228	0.6875	0.6079	0.7828	0.6908	0.7769	0.7926	0.6842	0.7027	0.6919	0.6171
cbk	0.4154	0.4460	0.3423	0.3849	0.5228	1.0000	0.3861	0.3618	0.4960	0.4096	0.4742	0.4179	0.3767	0.4301	0.4172	0.4038
krj	0.9143	0.7887	0.7072	0.6186	0.6875	0.3861	1.0000	0.7142	0.6180	0.9067	0.6516	0.8276	0.8455	0.6763	0.8805	0.7071
war	0.7607	0.6916	0.4918	0.5263	0.6079	0.3618	0.7142	1.0000	0.5820	0.6645	0.5444	0.7077	0.6119	0.6878	0.6618	0.7032
prf	0.6265	0.6636	0.5494	0.7235	0.7828	0.4960	0.6180	0.5820	1.0000	0.5820	0.7103	0.6656	0.6153	0.6098	0.5991	0.6182
jil	0.9242	0.8305	0.6757	0.5583	0.6908	0.4096	0.9067	0.6645	0.5820	1.0000	0.6013	0.8492	0.8811	0.7141	0.9391	0.6398
tao	0.6489	0.6678	0.6002	0.6611	0.7769	0.4742	0.6516	0.5444	0.7103	0.6013	1.0000	0.7047	0.6562	0.5904	0.6196	0.6281
bik	0.8482	0.9206	0.6747	0.5962	0.7926	0.4179	0.8276	0.7077	0.6656	0.8492	0.7047	1.0000	0.8298	0.7762	0.8587	0.6405
tgl	0.8666	0.7405	0.7985	0.5669	0.6842	0.3767	0.8455	0.6119	0.6153	0.8811	0.6562	0.8298	1.0000	0.6708	0.8877	0.5995
tsg	0.7217	0.7464	0.5968	0.5533	0.7027	0.4301	0.6763	0.6878	0.6098	0.7141	0.5904	0.7762	0.6708	1.0000	0.7017	0.6324
ceb	0.8870	0.8061	0.7033	0.5588	0.6919	0.4172	0.8805	0.6618	0.5991	0.9391	0.6196	0.8587	0.8877	0.7017	1.0000	0.6117
tiu	0.7720	0.6563	0.5469	0.6396	0.6171	0.4038	0.7071	0.7032	0.6182	0.6398	0.6281	0.6405	0.5995	0.6324	0.6117	1.0000
